episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
42,470.0,512,25576,0.1,0.05079875882802298,104.94583687500563,True,False
43,650.0,562,26138,0.1,0.04645209444154586,106.98325399996247,True,False
44,570.0,490,26628,0.1,0.052751498524008726,108.71458937495481,True,False
45,1130.0,587,27215,0.1,0.05505412228864758,110.74849895900115,True,False
46,440.0,414,27629,0.1,0.06343168716053836,112.22382208396448,True,False
47,240.0,331,27960,0.1,0.058878317733396246,113.4022443749709,True,False
48,500.0,529,28489,0.1,0.06593364443291318,115.25872250000248,True,False
49,870.0,606,29095,0.1,0.07079721131787592,117.40330779197393,True,False
50,460.0,429,29524,0.1,0.06709047018860777,118.93921424995642,True,False
51,320.0,445,29969,0.1,0.07096305338514818,121.42345408396795,True,False
52,550.0,574,30543,0.1,0.07909567058867925,123.43492895900272,True,False
53,600.0,606,31149,0.1,0.07512488719198461,125.59159245894989,True,False
54,420.0,527,31676,0.1,0.07207921728717559,127.62490779196378,True,False
55,640.0,818,32494,0.1,0.0666449440131877,130.5015799999819,True,False
56,320.0,408,32902,0.1,0.06193638347344948,131.95688495895592,True,False
57,410.0,377,33279,0.1,0.06167622759660825,133.29419074999169,True,False
58,560.0,673,33952,0.1,0.06729571316281013,135.69637979200343,True,False
59,350.0,526,34478,0.1,0.06098137538567299,137.56930266699055,True,False
60,320.0,493,34971,0.1,0.05978965042613265,139.31492599996272,True,False
61,1170.0,775,35746,0.1,0.06396901079443927,142.0610583339585,True,False
62,590.0,652,36398,0.1,0.06661688755523482,144.42249704198912,True,False
63,510.0,534,36932,0.1,0.0690819478399162,146.35033191699767,True,False
64,320.0,319,37251,0.1,0.06105060184586652,147.51962854195153,True,False
65,1300.0,955,38206,0.1,0.0694881661066388,150.93485704198247,True,False
66,1050.0,724,38930,0.1,0.06223603841740617,153.46246129198698,True,False
67,730.0,602,39532,0.1,0.06317462131307022,155.59352783398936,True,False
68,1610.0,1464,40996,0.1,0.06687928319913768,160.8081443340052,True,False
69,680.0,519,41515,0.1,0.0670675014167331,162.6956894589821,True,False
70,290.0,459,41974,0.1,0.06699190524447224,164.34681379195536,True,False
71,320.0,333,42307,0.1,0.06088323233626693,165.54864937497769,True,False
72,1670.0,1011,43318,0.1,0.07606117181818593,169.15834066696698,True,False
73,510.0,456,43774,0.1,0.07063432341735613,170.7966459169984,True,False
74,1500.0,1105,44879,0.1,0.06570130152006944,174.6918616250041,True,False
75,1020.0,758,45637,0.1,0.06831231275573373,177.36435891699512,True,False
76,210.0,367,46004,0.1,0.081979818014509,179.70452845899854,True,False
77,870.0,951,46955,0.1,0.08078707682306756,183.08422754198546,True,False
78,250.0,403,47358,0.1,0.06933316858577551,184.53042508399813,True,False
79,790.0,711,48069,0.1,0.06419414176678892,187.0443332089926,True,False
80,1080.0,672,48741,0.1,0.06234695997443937,189.41162804199848,True,False
81,930.0,706,49447,0.1,0.07873913895508106,191.9123664170038,True,False
82,460.0,499,49946,0.1,0.08015510807186366,193.68643670895835,True,False
83,700.0,664,50610,0.1,0.07739296106688948,196.0298448340036,True,False
84,720.0,637,51247,0.1,0.07597611593258269,198.26555670896778,True,False
85,230.0,392,51639,0.1,0.08115847479095872,199.65945937496144,True,False
86,1550.0,681,52320,0.1,0.07731325131955377,202.09753979195375,True,False
87,480.0,442,52762,0.1,0.08368079603903673,203.68558566697175,True,False
88,1550.0,737,53499,0.1,0.08010694695859337,206.29715995898005,True,False
89,1450.0,997,54496,0.1,0.07815637507662176,209.85024883400183,True,False
90,910.0,897,55393,0.1,0.09421444940796521,213.08217204199173,True,False
